NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,Municipio.NomeMunicipio,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011|59592012|34672011|48372023,1002479662,R APRIGIO DE ARAUJO,EDIFICIO BARAO,SP,3551702,200KG7W|20M0G7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1875|2640|2140|2117.5|885,1780|2520|1950|1927.5|840,30,Rooftop,,027331703519|012720905344,16.16|17.05|13.52,27|28|26|20,66.76|65.49|68,0,45,010891905894|045621602519|039721705894,20|40|80,-21.14127,-47.98545,2023-06-19,2016-01-12,2028-03-31,SertÃÂ£ozinho,20250718,1,30.0,0.01196
CLARO,50409105090,46622011|59592012|34672011|48372023,1002479662,R APRIGIO DE ARAUJO,EDIFICIO BARAO,SP,3551702,200KG7W|20M0G7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1875|2640|2140|2117.5|885,1780|2520|1950|1927.5|840,130,Rooftop,,027331703519|012720905344,16.16|17.05|13.52,27|28|26|20,66.76|65.49|68,0,45,010891905894|045621602519|039721705894|008881101882,20|40|80|72.44,-21.14127,-47.98545,2023-06-19,2016-01-12,2028-03-31,SertÃÂ£ozinho,20250718,2,130.0,0.01196
CLARO,50409105090,46622011|59592012|34672011|48372023,1002479662,R APRIGIO DE ARAUJO,EDIFICIO BARAO,SP,3551702,200KG7W|20M0G7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1875|2640|2140|2117.5|885,1780|2520|1950|1927.5|840,270,Rooftop,,027331703519|012720905344,16.16|17.05|13.52,27|28|26|20,66.76|65.49|68,0,45,010891905894|045621602519|039721705894,20|40|80,-21.14127,-47.98545,2023-06-19,2016-01-12,2028-03-31,SertÃÂ£ozinho,20250718,4,270.0,0.01196
CLARO,50409105090,59592012|97692014|46622011,1006003581,R CRÃÂSIO LOPES    91    JD. MONTREAL,,SP,3551702,20M0G7W|10M0G7W|5M00D7W|5M00G7W,LTE|WCDMA,2650|803|890|894,2630|793|880|891.5,0,Greenfield,sim,027331703519|012720905344,17.05|14.1|13.52,28.0|25.0|20.0,65.49|66.56|68.0,0.0,40.0,056351705894|029361602519|039721705894,40.0|80.0,-21.14528,-47.97361,2019-04-15,2018-03-27,2027-10-18|2029-12-08|2028-03-31,SertÃÂ£ozinho,20250718,1,0.0,0.6213350000000001
CLARO,50409105090,59592012|97692014|46622011,1006003581,R CRÃÂSIO LOPES    91    JD. MONTREAL,,SP,3551702,20M0G7W|10M0G7W|5M00D7W|5M00G7W,LTE|WCDMA,2650|803|890|894,2630|793|880|891.5,140,Greenfield,sim,027331703519|012720905344,17.05|14.1|13.52,28.0|25.0|20.0,65.49|66.56|68.0,0.0,40.0,056351705894|029361602519|039721705894,40.0|80.0,-21.14528,-47.97361,2019-04-15,2018-03-27,2027-10-18|2029-12-08|2028-03-31,SertÃÂ£ozinho,20250718,2,140.0,0.6213350000000001
CLARO,50409105090,59592012|97692014|46622011,1006003581,R CRÃÂSIO LOPES    91    JD. MONTREAL,,SP,3551702,20M0G7W|10M0G7W|5M00D7W|5M00G7W,LTE|WCDMA,2650|803|890|894,2630|793|880|891.5,230,Greenfield,sim,027331703519|012720905344,17.05|14.1|13.52,28.0|25.0|20.0,65.49|66.56|68.0,0.0,40.0,056351705894|029361602519|039721705894,40.0|80.0,-21.14528,-47.97361,2019-04-15,2018-03-27,2027-10-18|2029-12-08|2028-03-31,SertÃÂ£ozinho,20250718,3,230.0,0.6213350000000001
CLARO,50409105090,46622011|59592012|97692014|34672011|48372023,1006003603,R LAURINDO SCARANELLO,,SP,3551702,5M00G7W|20M0G7W|10M0G7W,WCDMA|LTE,885|2640|798|2140|2117.5,840|2520|743|1950|1927.5,100|110,Greenfield,sim,012720905344|027331703519,13.52|17.05|14.1|16.16,20|28|25|26,68|65.49|66.56|66.76,3|5,40,039721705894|056351705894|029361602519|040952002519,80|40|60,-21.12101,-47.99587,2023-06-19,2018-04-30,2028-03-31,SertÃÂ£ozinho,20250718,2,110.0,0.5529700000000001
CLARO,50409105090,46622011|59592012|97692014|34672011|48372023,1006003603,R LAURINDO SCARANELLO,,SP,3551702,5M00G7W|20M0G7W|10M0G7W,WCDMA|LTE,885|2640|798|2140|2117.5,840|2520|743|1950|1927.5,210|220,Greenfield,sim,012720905344|027331703519,13.52|17.05|14.1|16.16,20|28|25|26,68|65.49|66.56|66.76,4|3,40,039721705894|056351705894|029361602519|040952002519,80|40|60,-21.12101,-47.99587,2023-06-19,2018-04-30,2028-03-31,SertÃÂ£ozinho,20250718,3,220.0,0.5529700000000001
CLARO,50409105090,59592012|97692014|34672011|48372023|46622011,1006003603,R LAURINDO SCARANELLO,,SP,3551702,20M0G7W|10M0G7W|5M00G7W,LTE|WCDMA,2640|798|2140|2117.5|885,2520|743|1950|1927.5|840,340,Greenfield,sim,027331703519|012720905344,17.05|14.1|16.16|13.52,28|25|26|20,65.49|66.56|66.76|68,6|4,40,056351705894|029361602519|040952002519|039721705894,40|60|80,-21.12101,-47.99587,2023-06-19,2018-04-30,2028-03-31,SertÃÂ£ozinho,20250718,4,340.0,0.5529700000000001
CLARO,50409105090,59592012|97692014|46622011,1006024260,R EUGENIO OLIVARES    S/N    JD. ALVORADA,,SP,3551702,20M0G7W|10M0G7W|5M00D7W|5M00G7W,LTE|WCDMA,2650|803|890|894,2630|793|880|891.5,50,Greenfield,sim,027331703519|012720905344,17.05|14.1|13.52,28.0|25.0|20.0,65.49|66.56|68.0,1.0,40.0,056351705894|029361602519|039721705894,40.0|80.0,-21.13222,-47.98611,2019-04-15,2018-04-04,2027-10-18|2029-12-08|2028-03-31,SertÃÂ£ozinho,20250718,1,50.0,0.177205
