NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,Municipio.NomeMunicipio,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,97432014|155832022,1000322855,RODOVIA PREFEITO JOSÃÂ ANDRÃÂ DE LIMA,KM 208,3 SP 340,SP,3500303,10M0G7W|5M00G7W,,788|874.5,0,FB,,760,0|004170801705,15|12.9,21|26,70.7|85,X,59,048811903257|000081201882,40,-22.036619,G,2024-05-13,9f13364807d22517|9f13364807d22518|9f13364807d22519|9f13364807d22520|9f13364807d22521|9f13364807d22522,,20250719,1,0.0,0.50963
VIVO,50409146447,97432014|155832022,1000587832,RODOVIA BENEDITO PASCOAL DE FRANÃÂA,KM 92,5 SP 165,SP,3514809,10M0G7W|5M00G7W,,788|874.5,0,FB,,760,129052003519,13.9|14.2,33|35,74|68,X,81,057731705894|008041101882,40,-24.583675,G,2023-11-17,8b9e62a8f71f4e78|8b9e62a8f71f4e79|8b9e62a8f71f4e7a|4d5c01a179b9f|4d5c01a179ba6|4d5c01a179bad,,20250719,1,0.0,0.6016849999999999
VIVO,50409146447,97432014|59072012|155832022,1000607671,Acesso Pela Estrada Municipal IbiÃÂºna X Bairro do Sal,Km 16,5,SP,3519709,10M0G7W|20M0G7W|5M00G7W,,788|2680|874.5,0,FB,Greenfield,760,056001603518,14.5|17.7|15.3,24|28|25,62|58|60,X,59,048811903257|058221803257|000081201882,40,-23.773392,G,2023-11-28,5e8f4aef3083b|5e8f4aef3b4d1|5e8f4aef3ba1e|5fe9ee3750137|5fe9ee375066e|5fe9ee3750a9f|4d5c01a17a260|4d5c01a17a261|4d5c01a17a264,,20250719,1,0.0,0.0035
VIVO,50409146447,97432014|48412023|166262022|155832022,1000622980,ESTRADA MUNICIPAL ADAMANTINA,X DISTRITO DE MOURÃÂO, S/N,SP,3528908,10M0G7W|5M00G7W,,788|2160|2150|874.5,0,FB,Greenfield,760,024731703257|004170801705,14.7|15.9|12.9,22|25|26,68|62|85,X,40,048811903257|083071803257|000081201882,40,-21.7242,G,2024-05-13,602fb675a132b|602fb675a2151|602fb675a257e|9f13364807a0dfab|9f13364807a0dfac|9f13364807a0dfad|9f13364807a0dfb1|9f13364807a0dfb2|9f13364807a0dfb3|4d5c01a17a5f3|4d5c01a17a5f6|4d5c01a17a5f7,,20250719,1,0.0,0.5067699999999999
VIVO,50409146447,97432014|166262022|48422023|155832022,1000624100,RODOANEL MARIO COVAS,KM 46,1 - PISTA EXTERNA - TRECHO SUL - SP 21,SP,3522208,10M0G7W|5M00G7W,,788|1875|1867.5|1862.5|874.5,0,FB,Greenfield,760,044181403519,14.2|15.1|14.8,32|29|31,58|62|68.43,X,66,057731705894|040952002519|000081201882,80|40,-23.757747,G,2023-11-17,5f6b9ed38d8e2|5f6b9ed38dd8d|5f6b9ed38e223|5f6b9ed38e66f|5f6b9ed38eaf3|5f6b9ed38ef7f|7c3825f809e6de2d|7c3825f809e6de2e|7c3825f809e6de2f|7c3825f809e6de30|7c3825f809e6de31|7c3825f809e6de32|7c3825f809e6de33|7c3825f809e6de34|7c3825f809e6de35,,20250719,1,0.0,0.02367
VIVO,50409146447,155832022,1000679362,Rodovia Pedro Rodrigues Garcia (SP-249),RUA SANTA GERTRUDES, S/N - RUA DA CIAXA D'ÃÂGUA,SP,3502705,5M00G7W,,874.5,0,FB,Greenfield,760,012720905344,15.5,25,68,X,35,000081201882,40,-24.4231,G,2023-11-17,5fe9ee0ebb597|5fe9ee0ebbb3e|5fe9ee0ebbf25,,20250719,1,0.0,2.56903
VIVO,50409146447,166262022|48412023|48422023|155832022,1000969646,RODOVIA TRANSBRASILIANA,X AVENIDA JUSCELINO KUBITSCHEK, S/N,SP,3549805,10M0G7W|5M00G7W,,1855|2160|1862.5|1867.5|2167.5|874.5,0,FB,,760,0,0,0,0,X,5|1,083071803257|000081201882,40,-20.866836,G,2023-11-21,e97195f80020edeb|e97195f80020edf1|e97195f80020ede2|e97195f80020ede5|e97195f80020edf4|4d5c01a17e249,,20250719,1,0.0,0.346445
VIVO,50409146447,166262022|59072012|48422023|41662008,1000969778,RODOVIA PRESIDENTE DUTRA,KM 222,2 BR 116 CAIXA D ÃÂGUA DA ACHÃÂ,SP,3518800,10M0G7W|20M0G7W|5M00G7W,,1875|2680|1862.5|874.5,0,FB,,760,056001603518,15.8|16|15,25,67|60|66,X,32,040952002519|056351705894|000081201882,40,-23.474015,G,2023-09-11,6ae915f87cec06b9|6ae915f87cec06ba|6ae915f87cec06bb|1dc3d2488d9a4824|1dc3d2488d9a4825|1dc3d2488d9a4826|6ae915f87cec06ad|6ae915f87cec06ae|6ae915f87cec06af|4d5c01a17e279|4d5c01a17e27a|4d5c01a17e27b,,20250719,1,0.0,0.007645
VIVO,50409146447,48412023|155832022,1001103820,Rodovia Edgard MÃÂ¡ximo Zamboto,KM 77,5 SP 354,SP,3525201,5M00G7W,,2160|874.5,0,FB,,760,034641103518,15.5|15,25|28,63|65,X,58,008041101882|000081201882,40,-23.075131,G,2023-11-21,4d5c01a17f322|4d5c01a17f323|4d5c01a17f324|4d5c01a17f325|4d5c01a17f326|4d5c01a17f327,,20250719,1,0.0,0.38581
VIVO,50409146447,155832022,1001324819,ESTRADA MUNICIPAL LENÃÂÃÂIS PAULISTA,X ÃÂGUAS DE SANTA BÃÂRBARA, KM 40,SP,3526803,5M00G7W,,874.5|890.75,0,FB,,760,000650501705,15.5,25,68,X,39,010641001882,40,-22.757444,G,2024-02-14,4d5c01a1803ac|4d5c01a1803ad|4d5c01a1803ae|4d5c01a1803af|4d5c01a1803b0|4d5c01a1803b1,,20250719,1,0.0,0.391275
VIVO,50409146447,97432014|155832022,1001330150,RUA ANTÃÂNIO PRADO,RUA BRASIL, LOTE 1 QUADRA 9,SP,3535002,10M0G7W|5M00G7W,,788|874.5,0,FB,,760,024731703257,15.5|15.8,25|24,63.3|61.3,X,15,048811903257|000081201882,40,-20.310323,G,2023-08-24,8072c5f84d03a030|8072c5f84d03a031|8072c5f84d03a032|4d5c01a180561|4d5c01a180562|4d5c01a180566,,20250719,1,0.0,1.671625
VIVO,50409146447,48422023|48412023|155832022,1001348602,Rodovia Pedro Astenori Marigliani / CapitÃÂ£o BarduÃÂ­no,KM 115,4 SP 08,SP,3538204,5M00G7W,,1867.5|1862.5|2160|874.5,0,FB,Greenfield,760,056001603518,16.7|17.2|14.1,30|25,64|60|59,X,58,007591301882|008041101882|000081201882,40|80,-22.766608,G,2023-11-21,5fb40e0136ab0|5fb40e0136fdb|5fb40e01373d8|5fb40e013933a|5fb40e0139747|0cc6d2483eca2064|5fb40e01377a3|5fb40e0137b7c|5fb40e0137f5d|5fb40e0138339|5fb40e0138719|5fb40e0138afc,,20250719,1,0.0,0.02075
VIVO,50409146447,48412023|155832022,1001352235,Rodoanel MÃÂ¡rio Covas Trecho Leste,KM 118,1 SP 21,SP,3523107,5M00G7W,,2160|874.5,0,FB,,760,034641103518,15.5|15,25|28,63|65,X,52,008041101882|000081201882,40,-23.498539,G,2023-11-21,4d5c01a18099e|4d5c01a18099f|4d5c01a1809a0|4d5c01a1809a1|4d5c01a1809a2|4d5c01a1809a3,,20250719,1,0.0,0.048505
VIVO,50409146447,59072012|48422023|41662008,1001352561,AVENIDA JORGE JOÃÂO SAAD,QUADRA 24, LOTE 09,SP,3550308,20M0G7W|5M00G7W,,2680|1862.5|874.5,0,FB,Greenfield,760,056001603518,14.36|11.14,25,69.24|75.69,X,28,038411301882|040952002519|000081201882,40|60|83.95,-23.590975,G,2023-09-11,5fb40dfc3e9f2|5fb40dfc3ef1a|5fb40dfc3f3e0|963c65f8a474ea8d|963c65f8a474ea8e|963c65f8a474ea8f|4d5c01a1809e7|4d5c01a1809e8|4d5c01a1809e9,,20250719,1,0.0,0.152985
VIVO,50409146447,166262022|48422023|155832022,1001381022,RODOVIA JOSÃÂ AUGUSTO FREIRE,KM 96,4 SP 36,SP,3538600,10M0G7W|5M00G7W,,1875|1862.5|1867.5|874.5,0,FB,,760,056001603518|029161203518,16.7|14.5,30|25,64|65,X,36|38,040952002519|039721705894,40,-23.03553,G,2024-05-13,9f13364807d2261b|9f13364807d2261c|9f13364807d2261d|9f13364807d22612|9f13364807d22613|9f13364807d22614|9f13364807d22615|9f13364807d22616|9f13364807d22617|4d5c01a180eaa|4d5c01a180eab|4d5c01a180eac,,20250719,1,0.0,0.12634
VIVO,50409146447,48412023|155832022,1001381235,Rodoanel MÃÂ¡rio Covas Trecho Leste,Km 108,6 SP 21,SP,3552502,5M00G7W,,2160|874.5,0,FB,,760,056001603518,17.2|14.1,30|25,60|59,X,52,008041101882|000081201882,40,-23.576708,G,2023-11-21,4d5c01a180efe|4d5c01a180eff|4d5c01a180f00|4d5c01a180f02|4d5c01a180f03|4d5c01a180f05,,20250719,1,0.0,0.15392
VIVO,50409146447,48422023|155832022,1001689256,RODOVIA CÃÂNEGO DOMÃÂNICO RANGONI,KM 62,5 SP 248/55,SP,3513504,5M00G7W,,1862.5|874.5,0,FB,,760,0,0,0,0,V,5,006091702519|000081201882,79.43|40,-23.852147,G,2023-11-21,0d89f5f8245d6a3f|4d5c01a1840b1,,20250719,1,0.0,2.88366
VIVO,50409146447,48422023|48412023,1001773346,Rua JoÃÂ£o ÃÂlvares Soares,X Rua Gabriele DÃÂ´Annunzio, S/N,SP,3550308,5M00G7W,,1862.5|1867.5|2160,0,FB,Greenfield,760|167,004741600762|0,9.56|5,0,94.2|0,X|V,3|4.2,029701602519|041551301882,5,-23.624421,F,2023-09-21,5eda4cff63b50|5eda4cff63ea8|4d5c01a1849ab,,20250719,1,0.0,0.011865
VIVO,50409146447,97432014|155832022|48412023,1001776159,RODOANEL MÃÂRIO COVAS TRECHO LESTE,KM 102,5 SP 21,SP,3552502,10M0G7W|5M00G7W,,788|874.5|2160,0,FB,,760,056001603518,13.5|14.1|17.2,25|30,63|59|60,X,50,057731705894|039721705894|016571601882,40,-23.624794,G,2023-11-21,8b9e62a8f75aa78c|8b9e62a8f75aa78d|8b9e62a8f75aa78e|4d5c01a184a7e|4d5c01a184a7f|4d5c01a184a83|4d5c01a184a84|4d5c01a184a85|4d5c01a184a86,,20250719,1,0.0,0.134365
VIVO,50409146447,48412023|155832022,1001780156,Rodoanel MÃÂ¡rio Covas Trecho Leste,Km 96,7 SP-21,SP,3529401,5M00G7W,,2160|874.5|890.75,0,FB,,760,034641103518,15.5,25,65,X,52,008041101882|000081201882,40,-23.66778,G,2023-11-21,4d5c01a184b05|4d5c01a184b06|4d5c01a184b08|4d5c01a184b09|4d5c01a184b0a|4d5c01a184b0b|4d5c01a184b0c|4d5c01a184b0d|4d5c01a184b0e,,20250719,1,0.0,0.0342
VIVO,50409146447,97432014|166262022|48412023|48422023|155832022,1001989764,RODOVIA TRANSBRASILIANA,KM 339, 6 BR 153,SP,3534708,10M0G7W|5M00G7W,,788|1855|2150|2160|1862.5|1867.5|874.5,0,FB,Greenfield,760,005152003257,14|17.2|17.3|14.1,21|26|25|22,66|69|68,X,30,048811903257|083071803257|016041001882|000081201882,40,-22.929214,G,2024-05-24,dac082480d8e4d20|dac082480d8e4d21|dac082480d8e4d22|8072c5f851cf6672|8072c5f851cf6673|8072c5f851cf6674|8072c5f851cf6675|8072c5f851cf6676|8072c5f851cf6677|8072c5f851cf6678|9f133648b9ec8360|9f133648b9ec8362|9f133648b9ec8376|9f133648b9ec8378|9f133648b9ec837a|5fe9edff6a10a|5fe9edff6afe8|5fe9edff6b3d7|5fe9edff6b7b5|5fe9edff6bb98|5fe9edff6bf89|5fe9edff6cfbb|5fe9edff6d45b|5fe9edff6d8bb,,20250719,1,0.0,0.251185
VIVO,50409146447,166262022|48412023|155832022,1001990835,RUA ABRHÃÂO RAHAL,CONDOMÃÂNIO EDIFÃÂCIO COSTA BLANCA RESIDENCIAL, 1-15 ED COSTA BLANCA,SP,3506003,10M0G7W|5M00G7W,,1855|2160|2150|874.5,0,FB,,760,044181403519|038961403518,15.1|16.4|15.8,29|32|25,62|57|67,X,51,083071803257|000081201882,40,-22.343744,G,2024-06-19,6ab875f8e14ac7be|6ab875f8e14ac7bf|6ab875f8e14ac7c0|9f1336480c42cecd|9f1336480c42cece|9f1336480c42cecf|9f1336480c42cee2|9f1336480c42cee3|9f1336480c42cee4|4d5c01a18717a|4d5c01a18717b|4d5c01a187181,,20250719,1,0.0,0.12890000000000001
VIVO,50409146447,166262022|48412023|48422023|155832022,1001990940,RODOVIA RÃÂGIS BITTENCOURT,KM 461, 58 BR 116 POSTO DE SERVIÃÂOS GRAAL,SP,3536208,10M0G7W|5M00G7W,,1855|2150|2160|1867.5|874.5,0,FB,,760,034641103518,15|15.5,25|28,67|63|65,X,61|63,006091702519|035912402519|039721705894,40,-24.623217,G,2024-06-21,c29a3648de8818f2|c29a3648de8818f4|c29a3648de8818f6|c29a3648de8818fe|c29a3648de8818ff|c29a3648de881900|c29a3648de881901|c29a3648de881902|c29a3648de881903|0d4cf5f800f22c1b|0d4cf5f800f22c1c|0d4cf5f800f22c1d|4d5c01a18718c|4d5c01a18718f|4d5c01a187192,,20250719,1,0.0,1.68832
VIVO,50409146447,97432014|166262022|48412023|48422023|155832022,1001998151,ESTRADA MUNICIPAL,ACESSO PELA RODOVIA PADRE GUILHERME HOVEL, KM 136 SP 079,SP,3537800,10M0G7W|5M00G7W,,788|1855|2150|2160|1862.5|1867.5|874.5,0,FB,Greenfield,760,024731703257,14.7|15.5|15.9,22|25,68|63|62|61,X,60,048811903257|083071803257|000081201882|008041101882,40,-23.845569,G,2023-11-22,5fe9ee076ba06|5fe9ee076be53|5fe9ee076c25a|8e8d95f8b865e7fc|8e8d95f8b865e7fd|8e8d95f8b865e7fe|8e8d95f8b865e7ff|8e8d95f8b865e800|8e8d95f8b865e801|8e8d95f8b865e802|8e8d95f8b865e803|8e8d95f8b865e804|5fe9ee0769edb|5fe9ee076a740|5fe9ee076aaf4|5fe9ee076ae9a|5fe9ee076b230|5fe9ee076b5fc|4d5c01a1875a4|4d5c01a1875a6|4d5c01a1875a8|5fe9ee076c6b5|5fe9ee076cace|5fe9ee076cef7,,20250719,1,0.0,0.658045
VIVO,50409146447,48412023|155832022,1002026196,RODOVIA BUNJIRO NAKAO,KM 61,5 SP 250,SP,3519709,5M00G7W,,2160|874.5|890.75,0,FB,,817,029161203518,17.5,25,65,X,52,008041101882|000081201882,40,-23.646461,G,2023-09-20,4d5c01a187957|4d5c01a187958|4d5c01a187959|4d5c01a18795a|4d5c01a18795b|4d5c01a18795c|4d5c01a18795d|4d5c01a18795e|4d5c01a18795f,,20250719,1,0.0,0.0842
VIVO,50409146447,166262022|48412023|48422023|155832022,1002051638,RODOVIA ENGENHEIRO JOÃÂO TOSELLO,KM 95,5 SP 147 FAZENDA CAMPO SÃÂO BENTO,SP,3526902,10M0G7W|5M00G7W,,1855|2150|2160|1862.5|1867.5|874.5,0,FB,,760,005152003257|000650501705,17.2|17.3|14,26|25,69|68|70,X,50,083071803257|000081201882,46|40,-22.5046,G,2023-11-22,aadc95f80bd8fe28|aadc95f80bd8fe29|aadc95f80bd8fe2a|aadc95f80bd8fe31|aadc95f80bd8fe32|aadc95f80bd8fe33|aadc95f80bd8fe34|aadc95f80bd8fe35|aadc95f80bd8fe36|0bfa824867c95d91|0bfa824867c95d92|0bfa824867c95d93|0bfa824867c95d94|0bfa824867c95d95|0bfa824867c95d96|4d5c01a187de9|4d5c01a187dea|4d5c01a187deb,,20250719,1,0.0,3.35455
VIVO,50409146447,97432014|166262022|48412023|59072012|48422023|155832022,1002051875,Rodovia JoÃÂ£o Beira|RODOVIA JOÃÂO BEIRA,KM 46,7 SP 95,SP,3501905,10M0G7W|20M0G7W|5M00G7W,,788|1855|2160|2680|1862.5|1867.5|2167.5|874.5,0,FB,Greenfield,760,005152003257|062552003257|038961403518|004170801705,14|17.2|17.3|0|17.5|15.8,21|26|25|0|24|27,66|69|68|0|59|67|84,X,26|28,048811903257|083071803257|062552003257|058221803257|000081201882|008041101882,40|2.58,-22.717961,G|E,2023-11-22,5fe9ee1f8ad01|5fe9ee1f8b1c1|5fe9ee1f8b679|e97195f800364860|e97195f800364861|e97195f800364862|e97195f800364863|e97195f800364864|e97195f800364865|5fe9ee1f89eaa|5fe9ee1f8a39d|5fe9ee1f8a846|e97195f800364854|e97195f800364855|e97195f800364856|e97195f800364857|e97195f800364858|e97195f800364859|e97195f800364866|e97195f800364867|e97195f800364868|5be355bc5439c|5be355bc5484f|5be355bc54d21|e97195f800364875|e97195f800364876|e97195f800364877,,20250719,1,0.0,0.1938
VIVO,50409146447,155832022,1002054513,ESTRADA DA TORRE - MORRO DO CHIQUEIRO - ACESSO PELA RODOVIA RÃÂGIS BITTENCOURT    KM 298 BR 116,MORRO DO CHIQUEIRO - ACESSO PELA RODOVIA RÃÂGIS BITTENCOURT, KM 298 BR 116,SP,3549953,5M00G7W,,874.5,0,FB,,760,056001603518,14.1,25,59,X,72|68.5,000081201882,40,-23.783489,G,2023-11-22,4d5c01a187e9b|4d5c01a187e9d|4d5c01a187ea2,,20250719,1,0.0,0.08467
VIVO,50409146447,48412023|155832022,1002094787,Rodovia Dom Gabriel Paulino Bueno Couto,KM 99,3 SP 300,SP,3523909,5M00G7W,,2160|874.5,0,FB,,760,034641103518,15.5|15,25|28,63|65,X,36,008041101882|000081201882,40,-23.257497,G,2023-11-22,4d5c01a187f3f|4d5c01a187f40|4d5c01a187f41|0cc6d2483ec92ccc|0cc6d2483ec92ccd|0cc6d2483ec92cce,,20250719,1,0.0,0.09286499999999999
VIVO,50409146447,97432014|155832022,1002099568,RODOANEL MÃÂRIO COVAS TRECHO LESTE,KM 94,7 SP 21,SP,3543303,10M0G7W|5M00G7W,,788|874.5,0,FB,,760,056001603518|034641103518,13.5|15,25|28,63|65,X,57|52,057731705894|039721705894,40,-23.685161,G,2024-05-13,20b685f803ebfd07|20b685f803ebfd08|20b685f803ebfd09|4d5c01a18822a|4d5c01a18822b|4d5c01a18822c,,20250719,1,0.0,0.707915
VIVO,50409146447,97432014|155832022,1002099584,RODOVIA COMANDANTE JOÃÂO RIBEIRO DE BARROS,KM 91, 3 SP 225,SP,3503208,10M0G7W|5M00G7W,,788|874.5,0,FB,,760,024731703257|002000703518,14.7|16.1,22|28,68|65,X,58|57,048811903257|000081201882,40,-21.838972,G,2023-11-22,56b145f89fda1947|56b145f89fda1948|56b145f89fda1949|4d5c01a188233|4d5c01a188236|4d5c01a188237,,20250719,1,0.0,0.74233
VIVO,50409146447,155832022,1002111339,Avenida Guido Caloi,Blocos 5, 6 E 8,SP,3550308,5M00G7W,,874.5|890.75,0,FB,,167,0,3,0,0,V,3,010641001882,40,-23.65306,G,2023-11-23,4d5c01a18836d|4d5c01a18836f,,20250719,1,0.0,0.12838999999999998
VIVO,50409146447,166262022|48412023|48422023|155832022,1002154763,RODOVIA NELSON CAPRONI,KM 2, 5 FAZENDA BOA ESPERANÃÂA,SP,3544004,10M0G7W|5M00G7W,,1855|2150|2160|1867.5|874.5,0,FB,Greenfield,760,038961403518,16.2|16.7|15.8,25,66|60|67,X,60,083071803257|008041101882|000081201882,40,-22.843981,G,2023-11-23,8072c5f8504a5c88|8072c5f8504a5c89|8072c5f8504a5c8a|8072c5f8504a5c8b|8072c5f8504a5c8c|8072c5f8504a5c8d|8072c5f8504a5c8e|8072c5f8504a5c8f|8072c5f8504a5c90|4d5c01a188952|4d5c01a188955|4d5c01a188956|5fe9ee421e681|5fe9ee421f125|5fe9ee421f598|4d5c01a18894f|4d5c01a188950|4d5c01a188953,,20250719,1,0.0,0.09474500000000001
VIVO,50409146447,166262022|48412023|48422023|155832022,1002154763,RODOVIA NELSON CAPRONI,KM 2, 5 FAZENDA BOA ESPERANÃÂA,SP,3544004,10M0G7W|5M00G7W,,1855|2150|2160|1867.5|874.5,0,FB,Greenfield,760,038961403518,16.2|16.7|15.8,25,66|60|67,X,60,083071803257|008041101882|000081201882,40,-22.843981,G,2023-11-23,8072c5f8504a5c88|8072c5f8504a5c89|8072c5f8504a5c8a|8072c5f8504a5c8b|8072c5f8504a5c8c|8072c5f8504a5c8d|8072c5f8504a5c8e|8072c5f8504a5c8f|8072c5f8504a5c90|4d5c01a188952|4d5c01a188955|4d5c01a188956|5fe9ee421e681|5fe9ee421f125|5fe9ee421f598|4d5c01a18894f|4d5c01a188950|4d5c01a188953,,20250719,1,0.0,0.09474500000000001
VIVO,50409146447,97432014|155832022|48412023,1002170696,RODOANEL MÃÂRIO COVAS TRECHO LESTE,KM 105,5 SP 21,SP,3552502,10M0G7W|5M00G7W,,788|874.5|2160,0,FB,,760,056001603518,13.5|14.1|17.2,25|30,63|59|60,X,53,057731705894|039721705894|016571601882,40,-23.601106,G,2023-11-23,8b9e62a8f75aa780|8b9e62a8f75aa781|8b9e62a8f75aa782|4d5c01a188b0f|4d5c01a188b11|4d5c01a188b14|4d5c01a188b15|4d5c01a188b16|4d5c01a188b17,,20250719,1,0.0,0.046115
VIVO,50409146447,48412023|166262022|155832022,1002445164,RUA PEDRO CHRISTE    S/N,LOTE 13, QUADRA 56B,SP,3515103,10M0G7W|5M00G7W,,2160|2150|874.5,0,FB,,760,56001603518,17.5|14.1,25,65|59,X,51|49,40952002519|81201882,40,-23.830157,G,2024-08-12,9f133648395b79a4|9f133648395b79a5|9f133648395b79a6|9f133648395b79ad|9f133648395b79ae|9f133648395b79af|4d5c01a18b8d0|4d5c01a18b8d1|4d5c01a18b8d4,,20250719,1,0.0,0.6053999999999999
VIVO,50409146447,97432014|48412023|155832022,1002710640,RODOVIA HENRIQUE EROLES,KM 76, 4 SP 66,SP,3518305,10M0G7W|5M00G7W,,788|2160|874.5,0,FB,,760,056001603518,13.5|17.2|14.1,25|30,63|60|59,X,56,057731705894|016571601882|039721705894,40,-23.405389,G,2023-11-23,8b9e62a8f72ea338|8b9e62a8f72ea339|8b9e62a8f72ea33a|4d5c01a19226b|4d5c01a19226c|4d5c01a19226e|4d5c01a19226f|4d5c01a192270|4d5c01a192271,,20250719,1,0.0,0.051235
VIVO,50409146447,48412023|166262022|59072012|155832022,1002998147,ESTRADA MUNICIPAL PFZ,GOLF CLUB RANDALL THOMPSON ACESSO PELA RODOVIA PRESIDENTE CASTELLO BRANCO, KM 10,SP,3540606,10M0G7W|20M0G7W|5M00G7W,,2160|2150|2680|874.5,0,FB,Greenfield,760,0,17.5|18.4|14.3,25|22,65|58|63,X,18,083071803257|058221803257|000081201882,40,-23.34235,G,2024-06-19,9f1336480c538e06|9f1336480c538e07|9f1336480c538e08|9f1336480c538e0f|9f1336480c538e10|9f1336480c538e11|5fe9ee10dd5e3|4d5c01a19803e|4d5c01a198043|5fe9ee10dfd96,,20250719,1,0.0,0.113145
VIVO,50409146447,97432014|166262022|48412023|59632012|1432016|1452016|1422016|155832022,1003683719,RUA ILDA REIS DE OLIVEIRA,5 LOTE, 12 QUADRA,SP,3519071,10M0G7W|5M00G7W,,788|2150|2160|2655|2665|2680|874.5,0,FB,Greenfield,760,056001603518,14.5|17.5|17.7|15.3,24|25|28,62|65|58|60,X,40,048811903257|083071803257|058221803257|000081201882,40,-22.860619,G,2024-02-29,5fe9ee251e8ab|305645f89576b746|305645f89576b747|305645f89576b748|305645f89576b749|305645f89576b74a|305645f89576b74b|305645f89576b74c|305645f89576b74d|305645f89576b74e|305645f89576b752|305645f89576b753|305645f89576b754|305645f89576b755|305645f89576b756|305645f89576b757|305645f89576b75b|305645f89576b75c|305645f89576b75d|4d5c01a1ab2a2|4d5c01a1ab2a3|4d5c01a1ab2a9,TIM S A,20250719,1,0.0,0.133215
VIVO,50409146447,166262022|1452016|48422023|59632012|1432016|1422016|155832022|48412023,1003791945,RODOVIA BR 101|Rodovia BR-101,KM 85|Rodovia Rio-Santos KM 85,5,SP,3510500,10M0G7W|5M00G7W,,1855|2545|1862.5|1867.5|2655|2665|2680|874.5|2160,0,FB,,760,024731703257|056001603518,15.5|16.7|15.4|17.5,25,63|60|67|65,X,60,083071803257|058221803257|000081201882|008041101882,40,-23.570267,G,2023-11-23,e97195f800d48cb1|e97195f800d48cb2|e97195f800d48cb3|0cc6d2483eff4cbd|0cc6d2483eff4cbe|0cc6d2483eff4cbf|e97195f800d48ca8|e97195f800d48ca9|e97195f800d48caa|e97195f800d48cab|e97195f800d48cac|e97195f800d48cad|e97195f800d48cba|e97195f800d48cbb|e97195f800d48cbc|e97195f800d48cc0|e97195f800d48cc1|e97195f800d48cc2|e97195f800d48cc3|e97195f800d48cc4|e97195f800d48cc5|e97195f800d48cc9|e97195f800d48cca|e97195f800d48ccb|0cc6d2483eff4ccf|0cc6d2483eff4cd0|0cc6d2483eff4cd1|e97195f800d48ccf|e97195f800d48cd0|e97195f800d48cd1,TIM S A,20250719,1,0.0,0.015415
VIVO,50409146447,155832022|48412023,1003865264,Avenida Francisco Matarazzo,Avenida AntÃÂ¡rtica, 380 (Shopping West Plaza),SP,3550308,5M00G7W,,874.5|2160|890.75,0,FB,,168,0,5,0,0,V,5,000081201882|008041101882,40,-23.527011,G,2023-09-20,4d5c01a1ad3fc|4d5c01a1ad3fd|4d5c01a1ad3ff|4d5c01a1ad400|4d5c01a1ad401|4d5c01a1ad402|4d5c01a1ad405|4d5c01a1ad406|4d5c01a1ad407,,20250719,1,0.0,0.17339
VIVO,50409146447,48422023|48412023,1003868280,Rua Mourato Coelho,X Rua Aspicuelta, S/N,SP,3550308,5M00G7W,,1862.5|1867.5|2160,0,FB,Greenfield,760|167,004741600762|0,9.56|5,0,94.2|0,X|V,3|3.4,029701602519|041551301882,5,-23.558726,F,2023-09-21,5eda4cff72d75|5eda4cff731f1|4d5c01a1ad47f,,20250719,1,0.0,0.13735
VIVO,50409146447,48422023|48412023,1003877300,Rua Fradique Coutinho,X Rua Wisard, S/N,SP,3550308,5M00G7W,,1862.5|1867.5|2160,0,FB,Rooftop,760|167,004741600762|0,9.56|5,0,94.2|0,X|V,3|3.4,029701602519|041551301882,5,-23.556249,F,2023-09-21,5eda4cff740d5|5eda4cff7450a|4d5c01a1ad5f6,,20250719,1,0.0,0.13735
VIVO,50409146447,97432014|59072012|48412023|155832022,1003891265,Rodovia Miguel Jubran,KM 323,5 SP 333 FAZENDA RIBEIRÃÂO DOS ÃÂNDIOS,SP,3529005,10M0G7W|20M0G7W|5M00G7W,,788|2680|2160|874.5,0,FB,Greenfield,760,056001603518,14.5|16,25,68|60,X,59,048811903257|058221803257|008041101882|000081201882,40,-22.145339,G,2023-11-23,5fe9ee2226f56|5fe9ee2227472|5fe9ee22279a5|5fe9ee2225fc0|5fe9ee22264a3|5fe9ee222699f|5ca49b475b52b|5ca49b475bef0|5ca49b475c40c|5cf01d79de524|5cf01d79e0020|5cf01d79e06d2,,20250719,1,0.0,0.48982
